,SunRad
2023-01-01,267.36842105263156
2023-01-02,17.22222222222222
2023-01-03,596.6666666666666
2023-01-04,20.0
2023-01-05,29.23076923076923
2023-01-06,81.42857142857143
2023-01-07,41.25
2023-01-08,5.555555555555555
2023-01-09,22.666666666666668
2023-01-10,42.666666666666664
2023-01-11,8.095238095238095
2023-01-12,85.88235294117646
2023-01-13,230.95238095238096
2023-01-14,55.294117647058826
2023-01-15,356.0
2023-01-16,814.7619047619048
2023-01-17,9.523809523809524
2023-01-18,895.7142857142857
2023-01-19,799.5238095238095
2023-01-20,162.38095238095238
2023-01-21,83.5
2023-01-22,143.5
2023-01-23,79.0
2023-01-24,49.473684210526315
2023-01-25,112.77777777777777
2023-01-26,1106.6666666666667
2023-01-27,1349.047619047619
2023-01-28,418.57142857142856
2023-01-29,513.3333333333334
2023-01-30,1041.904761904762
2023-01-31,1740.4761904761904
2023-02-01,160.0
2023-02-02,1135.7142857142858
2023-02-03,996.6666666666666
2023-02-04,1804.7619047619048
2023-02-05,276.3157894736842
2023-02-06,1760.0
2023-02-07,152.77777777777777
2023-02-08,161.42857142857142
2023-02-09,272.85714285714283
2023-02-10,1760.952380952381
2023-02-11,1001.4285714285714
2023-02-12,858.5714285714286
2023-02-13,1580.4761904761904
2023-02-14,2156.190476190476
2023-02-15,195.5
2023-02-16,315.7142857142857
2023-02-17,339.04761904761904
2023-02-18,687.1428571428571
2023-02-19,2842.3809523809523
2023-02-20,515.2380952380952
2023-02-21,410.95238095238096
2023-02-22,1186.6666666666667
2023-02-23,448.125
2023-02-24,527.5
2023-02-25,681.0
2023-02-26,1572.857142857143
2023-02-27,2405.2380952380954
2023-02-28,2393.809523809524
2023-03-01,3120.9523809523807
2023-03-02,2733.3333333333335
2023-03-03,1633.8095238095239
2023-03-04,2315.2380952380954
2023-03-05,2365.714285714286
2023-03-06,1736.1904761904761
2023-03-07,1593.8095238095239
2023-03-08,393.57142857142856
2023-03-09,2218.4210526315787
2023-03-10,1959.5
2023-03-11,2265.7894736842104
2023-03-12,4071.0
2023-03-13,730.5
2023-03-14,1344.2857142857142
2023-03-15,4433.333333333333
2023-03-16,4423.333333333333
2023-03-17,1370.0
2023-03-18,381.42857142857144
2023-03-19,1236.1904761904761
2023-03-20,697.6190476190476
2023-03-21,3063.3333333333335
2023-03-22,1193.3333333333333
2023-03-23,4007.0
2023-03-24,846.5
2023-03-25,633.5
2023-03-26,1306.5
2023-03-27,1250.5
2023-03-28,2818.5
2023-03-29,1321.0
2023-03-30,1735.0
2023-03-31,4356.0
2023-04-01,5399.0
2023-04-02,5101.0
2023-04-03,5524.761904761905
2023-04-04,2386.6666666666665
2023-04-05,1022.8571428571429
2023-04-06,2527.0
2023-04-07,860.5
2023-04-08,5492.5
2023-04-09,4726.0
2023-04-10,5420.0
2023-04-11,4444.5
2023-04-12,4983.5
2023-04-13,1422.0
2023-04-14,954.0
2023-04-15,5787.894736842105
2023-04-16,5450.5
2023-04-17,5648.9473684210525
2023-04-18,5309.473684210527
2023-04-19,5620.0
2023-04-20,5251.111111111111
2023-04-21,5399.473684210527
2023-04-22,5783.684210526316
2023-04-23,4278.333333333333
2023-04-24,937.8947368421053
2023-04-25,1173.157894736842
2023-04-26,3600.5
2023-04-27,3356.5
2023-04-28,3972.0
2023-04-29,2165.0
2023-04-30,5638.421052631579
2023-05-01,2073.3333333333335
2023-05-02,3750.0
2023-05-03,5014.761904761905
2023-05-04,4500.0
2023-05-05,3608.0
2023-05-06,6440.5
2023-05-07,6586.5
2023-05-08,6301.9047619047615
2023-05-09,6323.333333333333
2023-05-10,6488.5
2023-05-11,6439.0
2023-05-12,6500.5
2023-05-13,6525.5
2023-05-14,6357.368421052632
2023-05-15,3629.5
2023-05-16,1011.0
2023-05-17,1364.5
2023-05-18,6536.0
2023-05-19,6646.8421052631575
2023-05-20,6412.631578947368
2023-05-21,5484.736842105263
2023-05-22,5236.8421052631575
2023-05-23,6473.684210526316
2023-05-24,6571.578947368421
2023-05-25,5272.5
2023-05-26,5000.5
2023-05-27,5903.1578947368425
2023-05-28,4737.5
2023-05-29,6355.5
2023-05-30,6847.0
2023-05-31,5443.0
2023-06-01,6050.0
2023-06-02,5485.652173913043
2023-06-03,6163.181818181818
2023-06-04,4694.545454545455
2023-06-05,6167.826086956522
2023-06-06,6353.181818181818
2023-06-07,6422.608695652174
2023-06-08,4758.636363636364
2023-06-09,6718.181818181818
2023-06-10,6781.363636363636
2023-06-11,6964.761904761905
2023-06-12,6813.478260869565
2023-06-13,6710.434782608696
2023-06-14,5914.090909090909
2023-06-15,6587.391304347826
2023-06-16,6130.434782608696
2023-06-17,5175.652173913043
2023-06-18,1224.7826086956522
2023-06-19,2629.090909090909
2023-06-20,5172.173913043478
2023-06-21,6225.454545454545
2023-06-22,5833.478260869565
2023-06-23,6601.304347826087
2023-06-24,6448.695652173913
2023-06-25,6711.304347826087
2023-06-26,6746.363636363636
2023-06-27,6232.272727272727
2023-06-28,5688.260869565217
2023-06-29,6192.272727272727
2023-06-30,3375.217391304348
2023-07-01,5906.086956521739
2023-07-02,1047.391304347826
2023-07-03,2569.1304347826085
2023-07-04,4869.090909090909
2023-07-05,5692.727272727273
2023-07-06,4276.521739130435
2023-07-07,3151.304347826087
2023-07-08,5258.695652173913
2023-07-09,5241.363636363636
2023-07-10,6749.545454545455
2023-07-11,6667.727272727273
2023-07-12,4233.636363636364
2023-07-13,5411.304347826087
2023-07-14,6444.782608695652
2023-07-15,5512.272727272727
2023-07-16,3105.217391304348
2023-07-17,3889.5652173913045
2023-07-18,4430.0
2023-07-19,4408.260869565217
2023-07-20,4949.130434782609
2023-07-21,5081.818181818182
2023-07-22,5675.0
2023-07-23,5291.818181818182
2023-07-24,5980.909090909091
2023-07-25,2395.217391304348
2023-07-26,4067.8260869565215
2023-07-27,5587.727272727273
2023-07-28,3070.4545454545455
2023-07-29,6053.913043478261
2023-07-30,3366.521739130435
2023-07-31,1341.304347826087
2023-08-01,3827.8260869565215
2023-08-02,4467.391304347826
2023-08-03,1050.8695652173913
2023-08-04,3403.478260869565
2023-08-05,5001.739130434783
2023-08-06,1399.1304347826087
2023-08-07,2626.086956521739
2023-08-08,1394.3478260869565
2023-08-09,2510.4545454545455
2023-08-10,1825.4545454545455
2023-08-11,3333.0434782608695
2023-08-12,2098.6363636363635
2023-08-13,3082.1739130434785
2023-08-14,4213.809523809524
2023-08-15,3704.782608695652
2023-08-16,4333.04347826087
2023-08-17,3575.217391304348
2023-08-18,3004.3478260869565
2023-08-19,2668.2608695652175
2023-08-20,908.2608695652174
2023-08-21,3273.0434782608695
2023-08-22,2140.8695652173915
2023-08-23,3565.217391304348
2023-08-24,3540.4347826086955
2023-08-25,1083.9130434782608
2023-08-26,1292.1739130434783
2023-08-27,4263.478260869565
2023-08-28,1451.304347826087
2023-08-29,4600.909090909091
2023-08-30,1717.8260869565217
2023-08-31,3888.695652173913
2023-09-01,670.4347826086956
2023-09-02,1633.4782608695652
2023-09-03,3344.7619047619046
2023-09-04,4336.95652173913
2023-09-05,4048.2608695652175
2023-09-06,4616.95652173913
2023-09-07,3569.090909090909
2023-09-08,2913.913043478261
2023-09-09,3225.6521739130435
2023-09-10,3496.086956521739
2023-09-11,1613.0434782608695
2023-09-12,1337.7272727272727
2023-09-13,679.1304347826087
2023-09-14,3610.909090909091
2023-09-15,2523.181818181818
2023-09-16,3143.181818181818
2023-09-17,3817.8260869565215
2023-09-18,2670.8695652173915
2023-09-19,1404.090909090909
2023-09-20,1518.695652173913
2023-09-21,3180.4347826086955
2023-09-22,2528.181818181818
2023-09-23,2685.6521739130435
2023-09-24,3434.3478260869565
2023-09-25,1721.304347826087
2023-09-26,2354.782608695652
2023-09-27,1825.909090909091
2023-09-28,2703.181818181818
2023-09-29,1198.695652173913
2023-09-30,2210.4347826086955
2023-10-01,2911.7391304347825
2023-10-02,935.6521739130435
2023-10-03,355.6521739130435
2023-10-04,2497.9166666666665
2023-10-05,1379.5833333333333
2023-10-06,673.4782608695652
2023-10-07,3058.3333333333335
2023-10-08,3289.1666666666665
2023-10-09,3287.0833333333335
2023-10-10,3038.695652173913
2023-10-11,800.0
2023-10-12,3017.5
2023-10-13,1590.0
2023-10-14,2163.75
2023-10-15,2182.0833333333335
2023-10-16,3052.1739130434785
2023-10-17,1667.9166666666667
2023-10-18,1948.2608695652175
2023-10-19,1516.0869565217392
2023-10-20,798.3333333333334
2023-10-21,228.57142857142858
2023-10-22,646.5217391304348
2023-10-23,519.0909090909091
2023-10-24,1551.304347826087
2023-10-25,217.27272727272728
2023-10-26,164.7826086956522
2023-10-27,278.3333333333333
2023-10-28,1400.8695652173913
2023-10-29,726.5217391304348
2023-10-30,427.82608695652175
2023-10-31,110.43478260869566
2023-11-01,305.7142857142857
2023-11-02,131.1764705882353
2023-11-03,0.0
2023-11-04,35.0
2023-11-05,205.2941176470588
2023-11-06,125.55555555555556
2023-11-07,170.0
2023-11-08,90.55555555555556
2023-11-09,136.5
2023-11-10,118.0952380952381
2023-11-11,532.1739130434783
2023-11-12,201.30434782608697
2023-11-13,211.8181818181818
2023-11-14,293.04347826086956
2023-11-15,41.36363636363637
2023-11-16,187.08333333333334
2023-11-17,108.57142857142857
2023-11-18,143.91304347826087
2023-11-19,413.3333333333333
2023-11-20,618.695652173913
2023-11-21,197.91666666666666
2023-11-22,65.5
2023-11-23,594.5
2023-11-24,353.4782608695652
2023-11-25,729.1304347826087
2023-11-26,233.47826086956522
2023-11-27,588.695652173913
2023-11-28,63.63636363636363
2023-11-29,241.8181818181818
2023-11-30,17.0
2023-12-01,116.66666666666667
2023-12-02,113.33333333333333
2023-12-03,70.0
2023-12-04,147.14285714285714
2023-12-05,31.11111111111111
2023-12-06,227.0
2023-12-07,0.0
2023-12-08,41.25
2023-12-09,63.333333333333336
2023-12-10,0.0
2023-12-11,44.44444444444444
2023-12-12,25.0
2023-12-13,0.0
2023-12-14,0.0
2023-12-15,43.75
2023-12-16,8.88888888888889
2023-12-17,89.56521739130434
2023-12-18,67.61904761904762
2023-12-19,453.4782608695652
2023-12-20,5.0
2023-12-21,84.0909090909091
2023-12-22,33.5
2023-12-23,16.363636363636363
2023-12-24,392.3809523809524
2023-12-25,47.77777777777778
2023-12-26,41.25
2023-12-27,508.0
2023-12-28,6.25
2023-12-29,37.857142857142854
2023-12-30,6.111111111111111
2023-12-31,2.857142857142857
