,Temperature
2023-01-01,-0.7011278195488719
2023-01-02,3.1066137566137564
2023-01-03,-1.7968537414965973
2023-01-04,-3.2055555555555566
2023-01-05,-2.6653846153846157
2023-01-06,-4.319940476190475
2023-01-07,-0.13229166666666656
2023-01-08,3.50925925925926
2023-01-09,4.598769841269842
2023-01-10,3.201746031746032
2023-01-11,4.299518140589568
2023-01-12,3.704446778711484
2023-01-13,3.962329931972788
2023-01-14,4.262920168067227
2023-01-15,3.718154761904762
2023-01-16,3.0566326530612247
2023-01-17,2.3932823129251695
2023-01-18,2.495379818594104
2023-01-19,-0.20439342403628133
2023-01-20,0.11156462585034063
2023-01-21,-0.7390773809523811
2023-01-22,-3.4643452380952384
2023-01-23,-4.0963690476190475
2023-01-24,1.9145363408521305
2023-01-25,5.8144841269841265
2023-01-26,3.367261904761905
2023-01-27,-1.125462962962963
2023-01-28,0.1944444444444448
2023-01-29,2.558267195767196
2023-01-30,4.648809523809524
2023-01-31,1.108068783068783
2023-02-01,-0.9503968253968248
2023-02-02,-1.792460317460316
2023-02-03,-3.1267857142857145
2023-02-04,-3.0963624338624345
2023-02-05,-3.041447368421052
2023-02-06,-0.5603835978835975
2023-02-07,2.0100308641975313
2023-02-08,4.249404761904761
2023-02-09,2.0765211640211643
2023-02-10,2.523015873015873
2023-02-11,0.02619047619047616
2023-02-12,0.4095238095238094
2023-02-13,5.313095238095239
2023-02-14,6.999603174603175
2023-02-15,2.9999305555555544
2023-02-16,3.3000661375661364
2023-02-17,4.3480820105820115
2023-02-18,2.8174603174603186
2023-02-19,1.7456529581529576
2023-02-20,-0.05376984126984138
2023-02-21,-0.7572089947089952
2023-02-22,-0.18835978835978875
2023-02-23,0.2669270833333333
2023-02-24,0.8108333333333333
2023-02-25,-1.333541666666667
2023-02-26,-0.44424603174603206
2023-02-27,5.743253968253963
2023-02-28,5.6584235209235185
2023-03-01,7.36778499278499
2023-03-02,6.744480519480517
2023-03-03,4.502615440115441
2023-03-04,0.9050685425685426
2023-03-05,0.787319624819625
2023-03-06,-1.7022366522366528
2023-03-07,-2.0564935064935055
2023-03-08,-1.5986201298701317
2023-03-09,-2.059230462519936
2023-03-10,0.6691477272727278
2023-03-11,-1.2599880382775124
2023-03-12,0.2043312937062932
2023-03-13,-0.5620833333333339
2023-03-14,5.44484126984127
2023-03-15,3.936507936507936
2023-03-16,4.897191697191702
2023-03-17,2.6547313797313796
2023-03-18,3.9692460317460325
2023-03-19,7.1382020757020745
2023-03-20,4.775732600732601
2023-03-21,6.881318681318687
2023-03-22,7.416666666666665
2023-03-23,10.967419871794878
2023-03-24,7.273028846153847
2023-03-25,0.5691564685314681
2023-03-26,-0.06450757575757533
2023-03-27,-2.132884615384615
2023-03-28,-1.4134615384615379
2023-03-29,-2.5481249999999998
2023-03-30,-0.08301282051281947
2023-03-31,3.455059523809522
2023-04-01,4.564910714285717
2023-04-02,4.143798076923074
2023-04-03,5.844132653061228
2023-04-04,3.2894841269841284
2023-04-05,0.13015873015873047
2023-04-06,6.3099781016085394
2023-04-07,3.8324107142857136
2023-04-08,12.730624999999998
2023-04-09,11.666875000000006
2023-04-10,11.382291666666674
2023-04-11,10.988749999999998
2023-04-12,14.617916666666664
2023-04-13,7.057916666666668
2023-04-14,4.891041666666666
2023-04-15,11.808771929824555
2023-04-16,12.176160714285711
2023-04-17,13.263314536340857
2023-04-18,12.52105263157894
2023-04-19,13.781923558897251
2023-04-20,17.082804232804236
2023-04-21,19.58417919799498
2023-04-22,19.501535087719304
2023-04-23,15.396296296296295
2023-04-24,6.210181704260651
2023-04-25,8.056547619047619
2023-04-26,10.363988095238094
2023-04-27,8.0625
2023-04-28,9.504411764705882
2023-04-29,7.392340686274508
2023-04-30,11.578973168214661
2023-05-01,8.087698412698414
2023-05-02,10.37146358543417
2023-05-03,12.02975023342671
2023-05-04,9.542752100840337
2023-05-05,8.612463235294118
2023-05-06,12.09823529411765
2023-05-07,13.887426470588242
2023-05-08,16.869689542483655
2023-05-09,17.222724089635864
2023-05-10,18.586458333333333
2023-05-11,19.395392156862734
2023-05-12,21.454963235294116
2023-05-13,22.25136029411764
2023-05-14,23.705650154798757
2023-05-15,19.851041666666653
2023-05-16,13.75682598039216
2023-05-17,9.460796568627448
2023-05-18,16.892222222222216
2023-05-19,19.606475069252088
2023-05-20,20.503120190827943
2023-05-21,22.29104339796861
2023-05-22,23.807506155740217
2023-05-23,23.294028931979064
2023-05-24,25.020086949830716
2023-05-25,21.69430921052631
2023-05-26,17.63968567251462
2023-05-27,19.240339335180064
2023-05-28,18.138622076023395
2023-05-29,20.11958333333333
2023-05-30,20.88858552631579
2023-05-31,21.16724780701754
2023-06-01,17.614578565980167
2023-06-02,16.650019069412657
2023-06-03,21.057057416267938
2023-06-04,18.928349282296644
2023-06-05,22.788358123569804
2023-06-06,24.988267543859646
2023-06-07,22.889244851258578
2023-06-08,19.450807416267946
2023-06-09,19.830592105263165
2023-06-10,22.19465709728868
2023-06-11,22.811549707602335
2023-06-12,23.876582761250944
2023-06-13,26.4817887109077
2023-06-14,28.281718500797453
2023-06-15,29.060478642257813
2023-06-16,29.0756769641495
2023-06-17,27.271567505720828
2023-06-18,17.710459572845167
2023-06-19,22.208542663476866
2023-06-20,29.249723493516395
2023-06-21,28.15555223285487
2023-06-22,26.469946605644555
2023-06-23,27.860869565217385
2023-06-24,27.535554919908463
2023-06-25,28.865884820747514
2023-06-26,28.548096092503986
2023-06-27,27.300598086124406
2023-06-28,28.683209382151034
2023-06-29,30.428020334928235
2023-06-30,23.826382532418002
2023-07-01,23.683047292143414
2023-07-02,16.24977116704805
2023-07-03,15.027288329519449
2023-07-04,19.51648724082935
2023-07-05,23.26966706539076
2023-07-06,20.201932367149748
2023-07-07,19.42474256292906
2023-07-08,25.968630816170865
2023-07-09,26.581080542264747
2023-07-10,25.795853269537478
2023-07-11,24.80536283891547
2023-07-12,22.564722886762357
2023-07-13,23.535526315789472
2023-07-14,24.909973302822273
2023-07-15,25.172707336523136
2023-07-16,21.208031400966195
2023-07-17,20.838901601830663
2023-07-18,19.775686498855833
2023-07-19,20.214861428934658
2023-07-20,20.50825705568268
2023-07-21,21.997298644338127
2023-07-22,21.667643540669854
2023-07-23,22.496787730243618
2023-07-24,23.874116161616158
2023-07-25,21.554497016197786
2023-07-26,20.97990906507531
2023-07-27,21.8548462566845
2023-07-28,19.49123217468805
2023-07-29,24.62201619778346
2023-07-30,21.58107416879796
2023-07-31,16.35352728047742
2023-08-01,21.65377237851664
2023-08-02,22.175063938618912
2023-08-03,17.10303708439898
2023-08-04,21.051353367433936
2023-08-05,22.568009377664108
2023-08-06,17.150255754475694
2023-08-07,23.498199062233585
2023-08-08,15.760443307757885
2023-08-09,15.595565953654182
2023-08-10,14.717234848484837
2023-08-11,18.53388746803069
2023-08-12,18.12701648841353
2023-08-13,20.442391304347822
2023-08-14,23.284453781512607
2023-08-15,22.9866718426501
2023-08-16,24.671014492753617
2023-08-17,24.142924126172208
2023-08-18,20.333663682864454
2023-08-19,20.632789855072463
2023-08-20,18.33509316770186
2023-08-21,21.71358695652174
2023-08-22,19.318478260869565
2023-08-23,21.156884057971023
2023-08-24,21.660144927536226
2023-08-25,16.28405797101449
2023-08-26,18.491123188405794
2023-08-27,22.17373188405798
2023-08-28,16.45163043478261
2023-08-29,21.75378787878788
2023-08-30,18.1054347826087
2023-08-31,20.601811594202893
2023-09-01,14.45398550724638
2023-09-02,15.442572463768121
2023-09-03,17.255952380952394
2023-09-04,22.939855072463775
2023-09-05,21.865372670807453
2023-09-06,21.287292960662523
2023-09-07,19.64304653679653
2023-09-08,22.50869565217391
2023-09-09,22.27448240165631
2023-09-10,23.40134575569358
2023-09-11,18.97507763975156
2023-09-12,19.769201631701637
2023-09-13,15.394384057971005
2023-09-14,15.602389277389273
2023-09-15,16.894332750582745
2023-09-16,18.616025641025644
2023-09-17,16.801755852842806
2023-09-18,14.563294314381265
2023-09-19,17.037499999999994
2023-09-20,16.860869565217392
2023-09-21,20.59271181716834
2023-09-22,19.233041958041955
2023-09-23,17.328414158305453
2023-09-24,15.705434782608696
2023-09-25,13.991248606466
2023-09-26,17.367572463768116
2023-09-27,17.54564393939393
2023-09-28,17.94280303030303
2023-09-29,16.15833333333334
2023-09-30,15.302173913043482
2023-10-01,14.939855072463773
2023-10-02,12.25960144927537
2023-10-03,11.283876811594194
2023-10-04,13.413888888888891
2023-10-05,8.278345959595962
2023-10-06,8.091485507246377
2023-10-07,9.07065972222222
2023-10-08,7.871180555555552
2023-10-09,8.975
2023-10-10,9.193115942028983
2023-10-11,13.250327134986241
2023-10-12,12.678929924242412
2023-10-13,9.543741765480894
2023-10-14,11.552793560606048
2023-10-15,9.327982954545455
2023-10-16,7.2032279314888
2023-10-17,8.272569444444445
2023-10-18,7.014097496706193
2023-10-19,2.968840579710145
2023-10-20,3.6225694444444447
2023-10-21,4.987103174603173
2023-10-22,7.26231884057971
2023-10-23,6.986742424242425
2023-10-24,6.4346014492753625
2023-10-25,3.290909090909091
2023-10-26,3.4605072463768116
2023-10-27,3.420486111111112
2023-10-28,3.3855072463768114
2023-10-29,3.6865942028985503
2023-10-30,4.26123188405797
2023-10-31,6.811413043478261
2023-11-01,1.9986111111111104
2023-11-02,2.2671568627450984
2023-11-03,8.865277777777777
2023-11-04,8.694791666666667
2023-11-05,7.63578431372549
2023-11-06,7.9520833333333325
2023-11-07,7.051944444444443
2023-11-08,5.901157407407407
2023-11-09,6.224583333333333
2023-11-10,7.9640873015873
2023-11-11,7.540579710144928
2023-11-12,4.353079710144928
2023-11-13,1.853787878787878
2023-11-14,1.8403985507246379
2023-11-15,0.7451839826839829
2023-11-16,-0.334027777777778
2023-11-17,0.2761904761904758
2023-11-18,-1.4646997929606624
2023-11-19,-1.9350694444444443
2023-11-20,1.2137163561076607
2023-11-21,-0.05642361111111099
2023-11-22,-1.8933035714285715
2023-11-23,3.8938988095238103
2023-11-24,-0.1878105590062114
2023-11-25,-3.706573498964804
2023-11-26,-2.8704710144927534
2023-11-27,-4.328519668737061
2023-11-28,-4.668560606060606
2023-11-29,-2.6530303030303033
2023-11-30,-1.1462499999999998
2023-12-01,-0.8982638888888889
2023-12-02,-4.243055555555556
2023-12-03,-4.580555555555556
2023-12-04,-7.432142857142856
2023-12-05,-7.067592592592591
2023-12-06,-10.603333333333335
2023-12-07,-2.2273809523809533
2023-12-08,1.0994791666666672
2023-12-09,0.7490740740740744
2023-12-10,0.6107142857142858
2023-12-11,0.9319444444444438
2023-12-12,-1.9619791666666662
2023-12-13,-2.325520833333335
2023-12-14,-4.895833333333334
2023-12-15,-2.6755208333333336
2023-12-16,3.9592592592592593
2023-12-17,4.134394409937889
2023-12-18,6.733021541950113
2023-12-19,4.252277432712217
2023-12-20,0.5231250000000002
2023-12-21,0.2835497835497835
2023-12-22,0.5431249999999997
2023-12-23,-1.96060606060606
2023-12-24,-5.868537414965988
2023-12-25,0.6930555555555556
2023-12-26,-4.555208333333334
2023-12-27,-3.964166666666668
2023-12-28,-0.804166666666667
2023-12-29,2.5214285714285727
2023-12-30,0.6266203703703703
2023-12-31,-1.9154761904761892
